00C0|0041 
1E6C|0054 
1E6D|0074 
1E6E|0054 
1E6F|0074 
1E70|0054 
1E71|0074 
1E72|0055 
1E73|0075 
1E74|0055 
1E75|0075 
1E76|0055 
1E77|0075 
1E78|0168 
1E79|0169 
1E7A|016A 
1E7B|016B 
1E7C|0056 
1E7D|0076 
1E7E|0056 
1E7F|0076 
1E80|0057 
1E81|0077 
1E82|0057 
1E83|0077 
1E84|0057 
1E85|0077 
1E86|0057 
1E87|0077 
1E88|0057 
1E89|0077 
1E8A|0058 
1E8B|0078 
1E8C|0058 
1E8D|0078 
1E8E|0059 
1E8F|0079 
1E90|005A 
1E91|007A 
1E92|005A 
1E93|007A 
1E94|005A 
1E95|007A 
1E96|0068 
1E97|0074 
1E98|0077 
1E99|0079 
1E9B|017F 
1EA0|0041 
1EA1|0061 
1EA2|0041 
1EA3|0061 
1EA4|00C2 
1EA5|00E2 
1EA6|00C2 
1EA7|00E2 
1EA8|00C2 
1EA9|00E2 
1EAA|00C2 
1EAB|00E2 
1EAC|1EA0 
1EAD|1EA1 
1EAE|0102 
1EAF|0103 
1EB0|0102 
1EB1|0103 
1EB2|0102 
1EB3|0103 
1EB4|0102 
1EB5|0103 
1EB6|1EA0 
1EB7|1EA1 
1EB8|0045 
1EB9|0065 
1EBA|0045 
1EBB|0065 
1EBC|0045 
1EBD|0065 
1EBE|00CA 
1EBF|00EA 
1EC0|00CA 
1EC1|00EA 
1EC2|00CA 
1EC3|00EA 
1EC4|00CA 
1EC5|00EA 
1EC6|1EB8 
1EC7|1EB9 
1EC8|0049 
1EC9|0069 
1ECA|0049 
1ECB|0069 
1ECC|004F 
1ECD|006F 
1ECE|004F 
1ECF|006F 
1ED0|00D4 
1ED1|00F4 
1ED2|00D4 
1ED3|00F4 
1ED4|00D4 
1ED5|00F4 
1ED6|00D4 
1ED7|00F4 
1ED8|1ECC 
1ED9|1ECD 
1EDA|01A0 
1EDB|01A1 
1EDC|01A0 
1EDD|01A1 
1EDE|01A0 
1EDF|01A1 
1EE0|01A0 
1EE1|01A1 
1EE2|01A0 
1EE3|01A1 
1EE4|0055 
1EE5|0075 
1EE6|0055 
1EE7|0075 
1EE8|01AF 
1EE9|01B0 
1EEA|01AF 
1EEB|01B0 
1EEC|01AF 
1EED|01B0 
1EEE|01AF 
1EEF|01B0 
1EF0|01AF 
1EF1|01B0 
1EF2|0059 
1EF3|0079 
1EF4|0059 
1EF5|0079 
1EF6|0059 
1EF7|0079 
1EF8|0059 
1EF9|0079 
1F00|03B1 
1F01|03B1 
1F02|1F00 
1F03|1F01 
1F04|1F00 
1F05|1F01 
1F06|1F00 
1F07|1F01 
1F08|0391 
1F09|0391 
1F0A|1F08 
1F0B|1F09 
1F0C|1F08 
1F0D|1F09 
1F0E|1F08 
1F0F|1F09 
1F10|03B5 
1F11|03B5 
1F12|1F10 
1F13|1F11 
1F14|1F10 
1F15|1F11 
1F18|0395 
1F19|0395 
1F1A|1F18 
1F1B|1F19 
1F1C|1F18 
1F1D|1F19 
1F20|03B7 
1F21|03B7 
1F22|1F20 
1F23|1F21 
1F24|1F20 
1F25|1F21 
1F26|1F20 
1F27|1F21 
1F28|0397 
1F29|0397 
1F2A|1F28 
1F2B|1F29 
1F2C|1F28 
1F2D|1F29 
1F2E|1F28 
1F2F|1F29 
1F30|03B9 
1F31|03B9 
1F32|1F30 
1F33|1F31 
1F34|1F30 
1F35|1F31 
1F36|1F30 
1F37|1F31 
1F38|0399 
1F39|0399 
1F3A|1F38 
1F3B|1F39 
1F3C|1F38 
1F3D|1F39 
1F3E|1F38 
1F3F|1F39 
1F40|03BF 
1F41|03BF 
1F42|1F40 
1F43|1F41 
1F44|1F40 
1F45|1F41 
1F48|039F 
1F49|039F 
1F4A|1F48 
1F4B|1F49 
1F4C|1F48 
1F4D|1F49 
1F50|03C5 
1F51|03C5 
1F52|1F50 
1F53|1F51 
1F54|1F50 
1F55|1F51 
1F56|1F50 
1F57|1F51 
1F59|03A5 
1F5B|1F59 
1F5D|1F59 
1F5F|1F59 
1F60|03C9 
1F61|03C9 
1F62|1F60 
1F63|1F61 
1F64|1F60 
1F65|1F61 
1F66|1F60 
1F67|1F61 
1F68|03A9 
1F69|03A9 
1F6A|1F68 
1F6B|1F69 
1F6C|1F68 
1F6D|1F69 
1F6E|1F68 
1F6F|1F69 
1F70|03B1 
1F72|03B5 
1F74|03B7 
1F76|03B9 
1F78|03BF 
1F7A|03C5 
1F7C|03C9 
1F80|1F00 
1F81|1F01 
1F82|1F02 
1F83|1F03 
1F84|1F04 
1F85|1F05 
1F86|1F06 
1F87|1F07 
1F88|1F08 
1F89|1F09 
1F8A|1F0A 
1F8B|1F0B 
1F8C|1F0C 
1F8D|1F0D 
1F8E|1F0E 
1F8F|1F0F 
1F90|1F20 
1F91|1F21 
1F92|1F22 
1F93|1F23 
1F94|1F24 
1F95|1F25 
1F96|1F26 
1F97|1F27 
1F98|1F28 
1F99|1F29 
1F9A|1F2A 
1F9B|1F2B 
1F9C|1F2C 
1F9D|1F2D 
1F9E|1F2E 
1F9F|1F2F 
1FA0|1F60 
1FA1|1F61 
1FA2|1F62 
1FA3|1F63 
1FA4|1F64 
1FA5|1F65 
1FA6|1F66 
1FA7|1F67 
1FA8|1F68 
1FA9|1F69 
1FAA|1F6A 
1FAB|1F6B 
1FAC|1F6C 
1FAD|1F6D 
1FAE|1F6E 
1FAF|1F6F 
1FB0|03B1 
1FB1|03B1 
1FB2|1F70 
1FB3|03B1 
1FB4|03AC 
1FB6|03B1 
1FB7|1FB6 
1FB8|0391 
1FB9|0391 
1FBA|0391 
1FBC|0391 
1FC1|00A8 
1FC2|1F74 
1FC3|03B7 
1FC4|03AE 
1FC6|03B7 
1FC7|1FC6 
1FC8|0395 
1FCA|0397 
1FCC|0397 
1FCD|1FBF 
1FCE|1FBF 
1FCF|1FBF 
1FD0|03B9 
1FD1|03B9 
1FD2|03CA 
1FD6|03B9 
1FD7|03CA 
1FD8|0399 
1FD9|0399 
1FDA|0399 
1FDD|1FFE 
1FDE|1FFE 
1FDF|1FFE 
1FE0|03C5 
1FE1|03C5 
1FE2|03CB 
1FE4|03C1 
1FE5|03C1 
1FE6|03C5 
1FE7|03CB 
1FE8|03A5 
1FE9|03A5 
1FEA|03A5 
1FEC|03A1 
1FED|00A8 
1FF2|1F7C 
1FF3|03C9 
1FF4|03CE 
1FF6|03C9 
1FF7|1FF6 
1FF8|039F 
1FFA|03A9 
1FFC|03A9 
219A|2190 
219B|2192 
21AE|2194 
21CD|21D0 
21CE|21D4 
21CF|21D2 
2204|2203 
2209|2208 
220C|220B 
2224|2223 
2226|2225 
2241|223C 
2244|2243 
2247|2245 
2249|2248 
2260|003D 
2262|2261 
226D|224D 
226E|003C 
226F|003E 
2270|2264 
2271|2265 
2274|2272 
2275|2273 
2278|2276 
2279|2277 
2280|227A 
2281|227B 
2284|2282 
2285|2283 
2288|2286 
2289|2287 
22AC|22A2 
22AD|22A8 
22AE|22A9 
22AF|22AB 
22E0|227C 
22E1|227D 
22E2|2291 
22E3|2292 
22EA|22B2 
22EB|22B3 
22EC|22B4 
22ED|22B5 
2ADC|2ADD 
